server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,date_created,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on,month_slot
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,blue-copper-sp100,1259953,Grade 8,No,[],5,0,0.0,15,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,blue-copper-sp100,1259953,Grade 8,No,[],5,0,0.0,15,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,blue-copper-sp100,1259953,Grade 8,No,[],5,0,0.0,15,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,blue-copper-sp100,1259953,Grade 8,No,[],5,0,0.0,15,0,0.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,brown-ostrich-sp100,1260189,,Yes,[],5,1,20.0,15,6,40.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,brown-ostrich-sp100,1260189,,Yes,[],5,1,20.0,15,6,40.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,brown-ostrich-sp100,1260189,,Yes,[],5,1,20.0,15,6,40.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,brown-ostrich-sp100,1260189,,Yes,[],5,1,20.0,15,6,40.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,brown-peacock-sp100,1260193,Grade 8,Yes,[],5,1,20.0,15,6,40.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
tg32,ZPHS Aziznagar,4183032,[u'Basic Astronomy'],ast-unit1-earth,brown-peacock-sp100,1260193,Grade 8,Yes,[],5,1,20.0,15,6,40.0,2018-07-03 12:46:00,tg,4183032-tg32,2018-07-03,1,0,1,0,2,Jul-2018
