,school_server_code,tool_name,createdat_start,createdat_end,time_spent,session_id,user_id,domain,state_code,date_created,num_students_day,total_students,total_days,daily_attendence,individ_attendence,num_of_consistent_stud
20,3051001-rj1,food_sharing_tool,,2018-10-19 22:08:00,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
21,3051001-rj1,food_sharing_tool,,2018-10-19 22:09:28,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
22,3051001-rj1,food_sharing_tool,,2018-10-19 22:09:42,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
23,3051001-rj1,food_sharing_tool,,2018-10-19 22:12:25,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
24,3051001-rj1,food_sharing_tool,,2018-10-19 22:17:37,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
25,3051001-rj1,food_sharing_tool,,2018-10-19 22:17:55,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
26,3051001-rj1,food_sharing_tool,,2018-10-19 22:19:03,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
27,3051001-rj1,food_sharing_tool,,2018-10-19 22:19:21,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
28,3051001-rj1,food_sharing_tool,,2018-10-19 22:19:51,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
29,3051001-rj1,food_sharing_tool,,2018-10-19 22:21:00,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
30,3051001-rj1,food_sharing_tool,,2018-10-19 22:21:10,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
31,3051001-rj1,food_sharing_tool,,2018-10-19 22:30:38,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
32,3051001-rj1,food_sharing_tool,,2018-10-19 22:31:39,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
33,3051001-rj1,food_sharing_tool,,2018-10-19 22:32:25,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
34,3051001-rj1,food_sharing_tool,,2018-10-19 22:32:56,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
35,3051001-rj1,food_sharing_tool,,2018-10-19 22:36:21,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
36,3051001-rj1,food_sharing_tool,,2018-10-19 22:36:39,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
37,3051001-rj1,food_sharing_tool,,2018-10-19 22:21:07,10,teip27qcx6f0bvgmoqph5zw4jj6xdx6p,0,m,rj,2018-10-19,6,13,8,0.6153846153846154,0.25,0
38,3051001-rj1,food_sharing_tool,,2018-10-19 22:31:58,10,teip27qcx6f0bvgmoqph5zw4jj6xdx6p,0,m,rj,2018-10-19,6,13,8,0.6153846153846154,0.25,0
39,3051001-rj1,food_sharing_tool,,2018-10-19 22:13:59,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
40,3051001-rj1,food_sharing_tool,,2018-10-19 22:14:24,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
41,3051001-rj1,food_sharing_tool,,2018-10-19 22:15:07,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
42,3051001-rj1,food_sharing_tool,,2018-10-19 22:20:35,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
43,3051001-rj1,food_sharing_tool,,2018-10-19 22:21:34,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
44,3051001-rj1,food_sharing_tool,,2018-10-19 22:21:44,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
45,3051001-rj1,food_sharing_tool,,2018-10-19 22:25:26,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
46,3051001-rj1,food_sharing_tool,,2018-10-19 22:28:02,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
47,3051001-rj1,food_sharing_tool,,2018-10-19 22:29:02,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
48,3051001-rj1,food_sharing_tool,,2018-10-19 22:30:19,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
49,3051001-rj1,food_sharing_tool,,2018-10-19 22:33:47,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
50,3051001-rj1,food_sharing_tool,,2018-10-19 22:34:00,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
51,3051001-rj1,food_sharing_tool,,2018-10-19 22:34:02,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
52,3051001-rj1,food_sharing_tool,,2018-10-19 22:34:24,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
53,3051001-rj1,food_sharing_tool,,2018-10-19 22:34:43,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
54,3051001-rj1,food_sharing_tool,,2018-10-19 22:34:50,20,ayhzjfqjyzpp00f1ogvi2gvwf7b7b3km,211115,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
55,3051001-rj1,food_sharing_tool,,2018-07-20 01:52:03,5,7tn2qm5gmazblgg9z5zoft8swy8ab0ve,211125,m,rj,2018-07-20,2,13,8,0.15384615384615385,0.25,0
56,3051001-rj1,food_sharing_tool,,2018-07-20 01:58:00,5,7tn2qm5gmazblgg9z5zoft8swy8ab0ve,211125,m,rj,2018-07-20,2,13,8,0.15384615384615385,0.25,0
57,3051001-rj1,food_sharing_tool,,2018-10-19 22:21:42,15,4u3xduoi5b7thrlyod5n67bv0jyc311m,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
58,3051001-rj1,food_sharing_tool,,2018-10-19 22:21:48,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
59,3051001-rj1,food_sharing_tool,,2018-10-19 22:28:48,14,wg1d6gvf4fsrnb0b8xpmv19f15qa58m4,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
60,3051001-rj1,food_sharing_tool,,2018-10-19 22:30:48,15,4u3xduoi5b7thrlyod5n67bv0jyc311m,211125,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.25,0
