,school_server_code,date_created,domain,timespent_dom
75,2031017-mz17,2018-08-23,e,0.5
76,2031017-mz17,2018-10-08,e,0.5769230769230769
77,2031017-mz17,2018-10-08,m,0.5
78,2031017-mz17,2018-10-11,e,0.575
79,2031017-mz17,2018-10-12,e,0.5
80,2031017-mz17,2018-10-25,e,0.55
81,2031017-mz17,2018-10-26,e,0.5
82,2031017-mz17,2018-10-31,s,0.5
83,2031017-mz17,2018-11-13,s,0.5
84,2031017-mz17,2018-11-15,e,0.5625
85,2031017-mz17,2018-11-20,e,0.5
86,2031017-mz17,2018-11-20,s,0.5
87,2031017-mz17,2018-11-21,s,0.5
88,2031020-mz20,2018-07-11,e,0.5
89,2031020-mz20,2018-07-11,m,0.6041666666666666
90,2031020-mz20,2018-07-11,s,1.5
91,2031020-mz20,2018-08-10,s,0.5625
92,2031020-mz20,2018-08-21,e,0.5
93,2031020-mz20,2018-08-21,m,0.5
94,2031020-mz20,2018-08-28,e,0.5
95,2031020-mz20,2018-08-31,e,0.5
96,2031020-mz20,2018-08-31,s,0.5
97,2031020-mz20,2018-10-09,m,0.6666666666666666
98,2031020-mz20,2018-10-10,m,0.5
99,2031020-mz20,2018-10-26,e,1.0
100,2031020-mz20,2018-10-26,m,0.5
101,2031020-mz20,2018-10-30,e,0.5
102,2031020-mz20,2018-10-31,e,0.5
103,2031020-mz20,2018-10-31,m,0.5
104,2031020-mz20,2018-11-02,m,0.5
105,2031020-mz20,2018-11-09,m,0.5
106,2031020-mz20,2018-11-09,s,1.0
107,2031020-mz20,2018-11-13,e,0.5
108,2031021-mz21,2018-07-05,e,0.5
109,2031021-mz21,2018-07-05,m,1.0
110,2031021-mz21,2018-07-05,s,0.5
111,2031021-mz21,2018-08-31,e,0.8035714285714286
112,2031021-mz21,2018-08-31,m,0.75
113,2031021-mz21,2018-08-31,s,0.5
114,2031021-mz21,2018-11-09,e,0.5
115,2031021-mz21,2018-11-09,s,0.5
116,2031022-mz22,2018-07-02,e,1.0
117,2031022-mz22,2018-07-02,m,1.0
118,2031022-mz22,2018-07-02,s,0.9
119,2031022-mz22,2018-08-20,m,0.5
120,2031022-mz22,2018-09-14,s,0.9722222222222222
121,2031027-mz27,2018-07-10,s,0.5
122,2031027-mz27,2018-08-08,e,0.5
123,2031027-mz27,2018-08-08,m,0.5
124,2031027-mz27,2018-08-08,s,1.5
125,2031027-mz27,2018-08-14,e,0.8333333333333334
126,2031027-mz27,2018-08-20,e,0.5
127,2031027-mz27,2018-08-20,s,0.5
128,2031027-mz27,2018-10-10,e,0.6428571428571429
129,2031027-mz27,2018-10-10,s,0.5
130,2031027-mz27,2018-10-16,e,0.5
131,2031027-mz27,2018-10-16,m,0.5
132,2031028-mz28,2018-08-07,e,0.5
133,2031028-mz28,2018-08-07,m,1.5
134,2031028-mz28,2018-08-07,s,0.5
135,2031029-mz29,2018-07-11,e,0.5
136,2031029-mz29,2018-07-11,m,0.5
137,2031029-mz29,2018-07-11,s,0.71875
138,2031029-mz29,2018-08-08,e,0.84375
139,2031029-mz29,2018-08-08,m,0.5
140,2031029-mz29,2018-08-08,s,0.5
141,2031029-mz29,2018-08-24,m,1.0
142,2031029-mz29,2018-08-24,s,1.0
143,2031029-mz29,2018-08-29,m,0.5
144,2031029-mz29,2018-08-29,s,0.5833333333333334
145,2031029-mz29,2018-09-14,e,0.6666666666666666
146,2031029-mz29,2018-09-14,m,0.7142857142857143
147,2031029-mz29,2018-09-14,s,0.9166666666666666
148,2031029-mz29,2018-10-03,e,0.5
149,2031029-mz29,2018-10-04,e,0.5
150,2031029-mz29,2018-10-16,e,0.5
151,2031029-mz29,2018-10-16,s,1.0
152,2031029-mz29,2018-10-17,e,0.7727272727272727
153,2031029-mz29,2018-10-17,m,0.5
154,2031029-mz29,2018-10-23,e,0.8181818181818182
155,2031029-mz29,2018-10-24,e,0.5
156,2031029-mz29,2018-10-26,s,0.8636363636363636
157,2031029-mz29,2018-10-30,e,0.7727272727272727
158,2031029-mz29,2018-11-13,e,0.96875
159,2031029-mz29,2018-11-13,m,0.5833333333333334
160,2031029-mz29,2018-11-13,s,0.6875
161,2031029-mz29,2018-11-20,e,0.5
162,2031029-mz29,2018-11-20,s,0.7777777777777778
163,2031030-mz30,2018-08-16,e,0.5
164,2031030-mz30,2018-08-16,s,0.5
165,2031030-mz30,2018-08-23,e,0.5
166,2031030-mz30,2018-08-23,m,1.0
167,2031030-mz30,2018-08-23,s,0.625
168,2031030-mz30,2018-09-20,e,0.5
169,2031030-mz30,2018-09-20,m,1.5
170,2031030-mz30,2018-09-20,s,0.8076923076923077
171,2031030-mz30,2018-10-04,e,0.5
172,2031030-mz30,2018-10-11,e,0.5
173,2031030-mz30,2018-10-11,m,0.5
174,2031030-mz30,2018-10-18,m,0.5
175,2031030-mz30,2018-10-25,m,0.5
