,school_server_code,level_1,domain,duration_weeks,teacher_uids,event
147,3051023-rj23,0,English,2,"11102320,11102310,11102330,23102331,23102333,23102320,23102311,23102321,23102312",1
148,3051023-rj23,1,Math,2,"11102320,11102310,11102330,23102331,23102333,23102320,23102311,23102321,23102312",1
149,3051023-rj23,2,Science,3,"11102320,11102310,11102330,23102331,23102333,23102320,23102311,23102321,23102312",1
150,3051024-rj24,0,English,2,"11102430,11102420,11102410,23102430,23102420,23102410",1
151,3051024-rj24,1,Math,3,"11102430,11102420,11102410,23102430,23102420,23102410",1
152,3051025-rj25,0,English,5,"11102510,11102522,11102534,23102511,23102531,35102534,35102510,35102520",1
153,3051025-rj25,1,Math,5,"11102510,11102522,11102534,23102511,23102531,35102534,35102510,35102520",1
154,3051025-rj25,2,Science,5,"11102510,11102522,11102534,23102511,23102531,35102534,35102510,35102520",1
155,3051026-rj26,0,English,8,"410102611,410102631,11102611,11102632,11102620,23102611,23102620",1
156,3051026-rj26,1,Math,7,"410102611,410102631,11102611,11102632,11102620,23102611,23102620",1
157,3051026-rj26,2,Science,10,"410102611,410102631,11102611,11102632,11102620,23102611,23102620",1
158,3051027-rj27,0,English,3,"23102730,23102710,35102714,35102724",1
159,3051027-rj27,1,Math,3,"23102730,23102710,35102714,35102724",1
160,3051027-rj27,2,Science,4,"23102730,23102710,35102714,35102724",1
161,3051028-rj28,0,English,1,"11102820,11102810,11102830,23102810,23102822,23102830",1
162,3051028-rj28,1,Math,2,"11102820,11102810,11102830,23102810,23102822,23102830",1
163,3051028-rj28,2,Science,2,"11102820,11102810,11102830,23102810,23102822,23102830",1
164,3051030-rj30,0,English,3,"23103010,23103034,23103060",1
165,3051030-rj30,1,Math,5,"23103010,23103034,23103060",1
166,3051030-rj30,2,Science,6,"23103010,23103034,23103060",1
167,3051031-rj31,0,English,6,"410103110,410103131",1
168,3051031-rj31,1,Math,4,"410103110,410103131",1
169,3051031-rj31,2,Science,8,"410103110,410103131",1
170,3051032-rj32,0,English,7,"410103210,410103220,410103231",1
171,3051032-rj32,1,Math,11,"410103210,410103220,410103231",1
172,3051032-rj32,2,Science,13,"410103210,410103220,410103231",1
173,3051033-rj33,0,English,6,"35103330,35103314,35103324",1
174,3051033-rj33,1,Math,7,"35103330,35103314,35103324",1
175,3051033-rj33,2,Science,6,"35103330,35103314,35103324",1
176,3051036-rj36,0,English,1,35103610,1
177,3051036-rj36,1,Math,2,35103610,1
178,3051036-rj36,2,Science,6,35103610,1
179,3051040-rj40,0,English,1,"35104014,35104020",1
180,3051040-rj40,1,Math,1,"35104014,35104020",1
181,3051040-rj40,2,Science,1,"35104014,35104020",1
182,3051041-rj41,0,English,4,,1
183,3051041-rj41,1,Math,1,,1
184,3051041-rj41,2,Science,3,,1
185,3051044-rj44,0,English,1,"35104410,35104430",1
186,3051044-rj44,1,Math,2,"35104410,35104430",1
187,3051044-rj44,2,Science,2,"35104410,35104430",1
188,3051045-rj45,0,English,2,,1
189,3051045-rj45,1,Math,2,,1
190,3051045-rj45,2,Science,2,,1
191,3051047-rj47,0,English,5,,1
192,3051047-rj47,1,Math,3,,1
193,3051047-rj47,2,Science,2,,1
194,3051049-rj49,0,English,5,,1
195,3051049-rj49,1,Math,6,,1
196,3051049-rj49,2,Science,7,,1
197,3072002-rj52,0,English,8,,1
198,3072002-rj52,1,Math,5,,1
199,3072002-rj52,2,Science,10,,1
200,3072003-rj53,0,English,1,37200330,1
201,3072003-rj53,1,Math,2,37200330,1
202,3072003-rj53,2,Science,8,37200330,1
203,3072006-rj56,0,English,1,,1
204,3072006-rj56,1,Math,3,,1
205,3072006-rj56,2,Science,4,,1
206,3072008-rj58,0,English,2,,1
207,3072008-rj58,1,Math,2,,1
208,3072008-rj58,2,Science,7,,1
209,3072012-rj62,0,English,4,"48201215,48201224,37201214,37201230",1
210,3072012-rj62,1,Math,2,"48201215,48201224,37201214,37201230",1
211,3072012-rj62,2,Science,7,"48201215,48201224,37201214,37201230",1
212,3072013-rj63,0,English,3,,1
213,3072013-rj63,1,Math,1,,1
214,3072013-rj63,2,Science,2,,1
215,3072014-rj64,0,English,1,,1
216,3072014-rj64,1,Math,1,,1
217,3072014-rj64,2,Science,3,,1
218,3072015-rj65,0,English,4,,1
219,3072015-rj65,1,Math,3,,1
220,3072015-rj65,2,Science,5,,1
221,3072016-rj66,0,English,1,"48201614,48201625,48201630",1
222,3072016-rj66,1,Math,2,"48201614,48201625,48201630",1
223,3072016-rj66,2,Science,4,"48201614,48201625,48201630",1
224,3072018-rj68,0,English,3,,1
225,3072018-rj68,1,Math,4,,1
226,3072018-rj68,2,Science,2,,1
227,3072019-rj69,0,English,1,"37201920,37201914",1
228,3072019-rj69,1,Math,2,"37201920,37201914",1
229,3072019-rj69,2,Science,2,"37201920,37201914",1
230,3072022-rj72,0,English,2,37202231,1
231,3072022-rj72,1,Math,2,37202231,1
232,3072022-rj72,2,Science,3,37202231,1
233,3072023-rj73,0,English,9,"37202320,37202330,37202311",1
234,3072023-rj73,1,Math,9,"37202320,37202330,37202311",1
235,3072023-rj73,2,Science,12,"37202320,37202330,37202311",1
236,3072024-rj74,0,English,6,"48202414,48202420,48202434,37202430,37202411",1
237,3072024-rj74,1,Math,7,"48202414,48202420,48202434,37202430,37202411",1
238,3072024-rj74,2,Science,5,"48202414,48202420,48202434,37202430,37202411",1
239,3072025-rj75,0,English,5,"48202514,48202520,48202534",1
240,3072025-rj75,1,Math,5,"48202514,48202520,48202534",1
241,3072025-rj75,2,Science,7,"48202514,48202520,48202534",1
242,3072026-rj76,0,English,5,"37202621,37202630,37202611",1
243,3072026-rj76,1,Math,12,"37202621,37202630,37202611",1
244,3072026-rj76,2,Science,8,"37202621,37202630,37202611",1
245,3072027-rj77,0,English,2,"37202724,37202730,37202722",1
246,3072027-rj77,1,Math,3,"37202724,37202730,37202722",1
247,3072027-rj77,2,Science,4,"37202724,37202730,37202722",1
248,3072028-rj78,0,English,3,,1
249,3072028-rj78,1,Math,6,,1
250,3072028-rj78,2,Science,7,,1
251,3072029-rj79,0,English,3,"37202934,37202911,37202920",1
252,3072029-rj79,1,Math,3,"37202934,37202911,37202920",1
253,3072029-rj79,2,Science,3,"37202934,37202911,37202920",1
254,3072030-rj80,0,English,6,"37203034,37203011,37203024",1
255,3072030-rj80,1,Math,6,"37203034,37203011,37203024",1
256,3072030-rj80,2,Science,10,"37203034,37203011,37203024",1
257,3072031-rj81,0,English,5,"37203134,37203114,37203120",1
258,3072031-rj81,1,Math,2,"37203134,37203114,37203120",1
259,3072031-rj81,2,Science,8,"37203134,37203114,37203120",1
260,3072032-rj82,0,English,7,37203231,1
261,3072032-rj82,1,Math,7,37203231,1
262,3072032-rj82,2,Science,9,37203231,1
263,3072033-rj83,0,English,3,"37203310,37203331",1
264,3072033-rj83,1,Math,3,"37203310,37203331",1
265,3072033-rj83,2,Science,3,"37203310,37203331",1
266,3072034-rj84,0,English,4,,1
267,3072034-rj84,1,Math,2,,1
268,3072034-rj84,2,Science,2,,1
269,3072035-rj85,0,English,1,"48203514,48203524,48203534",1
270,3072035-rj85,1,Math,2,"48203514,48203524,48203534",1
271,3072035-rj85,2,Science,2,"48203514,48203524,48203534",1
272,3072036-rj86,0,English,4,"37203634,37203624",1
273,3072036-rj86,1,Math,5,"37203634,37203624",1
274,3072036-rj86,2,Science,6,"37203634,37203624",1
