,school_server_code,level_1,tool_name,duration_weeks,event
220,3072023-rj73,2,factorisation,1,1
221,3072023-rj73,3,food_sharing_tool,3,1
222,3072023-rj73,4,policesquad,4,1
223,3072024-rj74,0,astroamer_element_hunt_activity,3,1
224,3072024-rj74,1,factorisation,1,1
225,3072024-rj74,2,food_sharing_tool,1,1
226,3072024-rj74,3,policesquad,3,1
227,3072025-rj75,0,astroamer_element_hunt_activity,1,1
228,3072025-rj75,1,astroamer_planet_trek_activity,1,1
229,3072025-rj75,2,policesquad,1,1
230,3072026-rj76,0,ages_puzzle,1,1
231,3072026-rj76,1,astroamer_element_hunt_activity,1,1
232,3072026-rj76,2,factorisation,1,1
233,3072026-rj76,3,food_sharing_tool,3,1
234,3072026-rj76,4,policesquad,1,1
235,3072027-rj77,0,astroamer_element_hunt_activity,1,1
236,3072027-rj77,1,food_sharing_tool,1,1
237,3072027-rj77,2,policesquad,2,1
238,3072028-rj78,0,astroamer_element_hunt_activity,1,1
239,3072028-rj78,1,food_sharing_tool,3,1
240,3072029-rj79,0,food_sharing_tool,1,1
241,3072029-rj79,1,policesquad,1,1
242,3072030-rj80,0,ages_puzzle,1,1
243,3072030-rj80,1,astroamer_element_hunt_activity,2,1
244,3072030-rj80,2,coins_puzzle,1,1
245,3072030-rj80,3,factorisation,1,1
246,3072030-rj80,4,food_sharing_tool,1,1
247,3072030-rj80,5,policesquad,2,1
248,3072031-rj81,0,ages_puzzle,1,1
249,3072031-rj81,1,astroamer_element_hunt_activity,2,1
250,3072031-rj81,2,factorisation,1,1
251,3072032-rj82,0,ages_puzzle,1,1
252,3072032-rj82,1,astroamer_element_hunt_activity,2,1
253,3072032-rj82,2,factorisation,1,1
254,3072032-rj82,3,food_sharing_tool,1,1
255,3072032-rj82,4,policesquad,1,1
256,3072033-rj83,0,astroamer_element_hunt_activity,1,1
257,3072033-rj83,1,food_sharing_tool,1,1
258,3072033-rj83,2,ice,1,1
259,3072034-rj84,0,food_sharing_tool,1,1
260,3072035-rj85,0,food_sharing_tool,1,1
261,3072036-rj86,0,astroamer_element_hunt_activity,1,1
262,3072036-rj86,1,food_sharing_tool,1,1
263,3072040-rj90,0,ages_puzzle,1,1
264,3072040-rj90,1,food_sharing_tool,5,1
265,3072041-rj91,0,food_sharing_tool,3,1
266,3072043-rj93,0,astroamer_element_hunt_activity,1,1
267,3072043-rj93,1,food_sharing_tool,1,1
268,3072043-rj93,2,policesquad,1,1
269,3072044-rj94,0,food_sharing_tool,2,1
270,3072044-rj94,1,ice,1,1
271,3072044-rj94,2,rationpatterns,1,1
272,3072046-rj96,0,ages_puzzle,1,1
273,3072046-rj96,1,coins_puzzle,1,1
274,3072046-rj96,2,factorisation,2,1
275,3072046-rj96,3,food_sharing_tool,1,1
276,3072047-rj97,0,astroamer_element_hunt_activity,1,1
277,3072047-rj97,1,factorisation,1,1
278,3072047-rj97,2,food_sharing_tool,1,1
279,3072047-rj97,3,ice,1,1
280,3072048-rj98,0,coins_puzzle,1,1
281,3072048-rj98,1,factorisation,1,1
282,3072048-rj98,2,food_sharing_tool,2,1
283,3072049-rj99,0,astroamer_element_hunt_activity,2,1
284,3072049-rj99,1,food_sharing_tool,1,1
285,3072050-rj100,0,astroamer_planet_trek_activity,1,1
286,3072050-rj100,1,factorisation,2,1
287,3072050-rj100,2,food_sharing_tool,1,1
288,3072050-rj100,3,policesquad,1,1
289,4122100-tg300,0,ages_puzzle,15,1
290,4122100-tg300,1,astroamer_element_hunt_activity,8,1
291,4122100-tg300,2,coins_puzzle,13,1
292,4122100-tg300,3,factorisation,16,1
293,4122100-tg300,4,food_sharing_tool,10,1
294,4122100-tg300,5,ice,4,1
295,4122100-tg300,6,policesquad,7,1
296,4122100-tg300,7,rationpatterns,4,1
297,4141008-tg108,0,ages_puzzle,3,1
298,4141008-tg108,1,coins_puzzle,3,1
299,4141008-tg108,2,factorisation,5,1
300,4141008-tg108,3,food_sharing_tool,1,1
301,4141008-tg108,4,ice,1,1
302,4141009-tg109,0,ages_puzzle,1,1
303,4141009-tg109,1,factorisation,1,1
304,4141009-tg109,2,food_sharing_tool,1,1
305,4141009-tg109,3,policesquad,4,1
306,4141012-tg112,0,ages_puzzle,1,1
307,4141012-tg112,1,astroamer_element_hunt_activity,1,1
308,4141012-tg112,2,factorisation,1,1
309,4141012-tg112,3,food_sharing_tool,1,1
310,4141045-tg145,0,ages_puzzle,6,1
311,4141045-tg145,1,astroamer_element_hunt_activity,8,1
312,4141045-tg145,2,astroamer_planet_trek_activity,6,1
313,4141045-tg145,3,factorisation,6,1
314,4141045-tg145,4,food_sharing_tool,10,1
315,4141045-tg145,5,ice,2,1
316,4141045-tg145,6,policesquad,2,1
317,4152001-tg201,0,ages_puzzle,1,1
318,4152001-tg201,1,astroamer_element_hunt_activity,1,1
319,4152001-tg201,2,astroamer_planet_trek_activity,1,1
320,4152001-tg201,3,coins_puzzle,2,1
321,4152001-tg201,4,factorisation,2,1
322,4152001-tg201,5,food_sharing_tool,1,1
323,4152001-tg201,6,ice,1,1
324,4152001-tg201,7,policesquad,2,1
325,4152002-tg202,0,ages_puzzle,1,1
326,4152002-tg202,1,coins_puzzle,1,1
327,4152002-tg202,2,factorisation,1,1
328,4152002-tg202,3,food_sharing_tool,1,1
329,4152012-tg212,0,ages_puzzle,1,1
330,4152012-tg212,1,astroamer_element_hunt_activity,2,1
331,4152012-tg212,2,coins_puzzle,1,1
332,4152012-tg212,3,factorisation,3,1
333,4152015-tg215,0,ages_puzzle,3,1
334,4152015-tg215,1,astroamer_element_hunt_activity,3,1
335,4152015-tg215,2,astroamer_moon_track,1,1
336,4152015-tg215,3,astroamer_planet_trek_activity,1,1
337,4152015-tg215,4,coins_puzzle,2,1
338,4152015-tg215,5,food_sharing_tool,2,1
339,4152017-tg217,0,ages_puzzle,1,1
340,4152017-tg217,1,astroamer_element_hunt_activity,1,1
341,4152017-tg217,2,factorisation,2,1
342,4152023-tg223,0,astroamer_element_hunt_activity,1,1
343,4152023-tg223,1,coins_puzzle,1,1
344,4152023-tg223,2,factorisation,1,1
345,4152030-tg230,0,food_sharing_tool,1,1
346,4152031-tg231,0,ages_puzzle,4,1
347,4152031-tg231,1,astroamer_element_hunt_activity,8,1
348,4152031-tg231,2,coins_puzzle,4,1
349,4152031-tg231,3,factorisation,5,1
350,4152031-tg231,4,food_sharing_tool,8,1
351,4152031-tg231,5,ice,1,1
352,4152031-tg231,6,policesquad,5,1
353,4152031-tg231,7,rationpatterns,3,1
354,4152035-tg235,0,ages_puzzle,1,1
355,4152035-tg235,1,astroamer_element_hunt_activity,1,1
356,4152035-tg235,2,factorisation,1,1
357,4152038-tg238,0,astroamer_element_hunt_activity,1,1
358,4152041-tg241,0,factorisation,1,1
359,4152072-tg272,0,food_sharing_tool,1,1
360,4152072-tg272,1,policesquad,1,1
361,4152092-tg292,0,factorisation,1,1
