server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,date_created,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on,month_slot
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-dragonfly-tg231,1082640,Grade 8,No,[1082639],8,4,50.0,43,10,23.255813953488367,2018-11-26 12:13:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-dragonfly-tg231,1082640,Grade 8,No,[1082639],8,4,50.0,43,10,23.255813953488367,2018-11-26 12:13:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-dragonfly-tg231,1082640,Grade 8,Yes,[],8,8,100.0,43,43,100.0,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-dragonfly-tg231,1082640,Grade 8,Yes,[],8,8,100.0,43,43,100.0,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-dragonfly-tg231,1082640,Grade 8,Yes,[],8,8,100.0,43,43,100.0,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-dragonfly-tg231,1082640,Grade 8,Yes,[],8,8,100.0,43,43,100.0,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-frog-tg231,1082647,Grade 8,Yes,[],8,1,12.5,43,1,2.3255813953488373,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-frog-tg231,1082647,Grade 8,Yes,[],8,1,12.5,43,1,2.3255813953488373,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-frog-tg231,1082647,Grade 8,Yes,[],8,1,12.5,43,1,2.3255813953488373,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
tg231,ZPHS Kannapur,4152031,[u'Geometric Reasoning Part I'],gr1-unit3-classifying-defining-shapes,blue-frog-tg231,1082647,Grade 8,Yes,[],8,1,12.5,43,1,2.3255813953488373,2018-11-26 15:14:00,tg,4152031-tg231,2018-11-26,0,0,8,3,11,Nov-2018
