,activities_visited,buddy_userids,enrollment_status,grade,lessons_visited,module_name,percentage_activities_visited,percentage_lessons_visited,school_code,school_name,server_id,state_code,timestamp,total_activities,total_lessons,unit_name,user_id,username
15,2.0,[],No,Grade 8,0.0,[u'English Beginner'],1.5625,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:55:00,128.0,13.0,eb-unit1-english-beginner,1260193.0,brown-peacock-sp100
24,2.0,[],No,Grade 9,1.0,[u'Sound'],3.571428571428571,10.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,56.0,10.0,sound,1260002.0,black-apple-sp100
25,2.0,[],No,Grade 9,1.0,[u'Sound'],3.571428571428571,10.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,56.0,10.0,sound,1260002.0,black-apple-sp100
30,0.0,[],No,Grade 8,0.0,[u'English Elementary'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1259953.0,blue-copper-sp100
31,0.0,[],No,Grade 8,0.0,[u'English Elementary'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1259953.0,blue-copper-sp100
32,2.0,[],No,,0.0,[u'English Elementary'],2.380952380952381,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1259993.0,yellow-copper-sp100
33,2.0,[],No,,0.0,[u'English Elementary'],2.380952380952381,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1259993.0,yellow-copper-sp100
34,0.0,[],No,Grade 9,0.0,[u'English Elementary'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1260002.0,black-apple-sp100
35,0.0,[],No,Grade 9,0.0,[u'English Elementary'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1260002.0,black-apple-sp100
36,1.0,[],Yes,,0.0,[u'English Elementary'],1.1904761904761905,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1260189.0,brown-ostrich-sp100
37,1.0,[],Yes,,0.0,[u'English Elementary'],1.1904761904761905,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1260189.0,brown-ostrich-sp100
38,1.0,[],Yes,Grade 8,0.0,[u'English Elementary'],1.1904761904761905,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1260193.0,brown-peacock-sp100
39,1.0,[],Yes,Grade 8,0.0,[u'English Elementary'],1.1904761904761905,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,84.0,12.0,ee-unit1-english-elementary,1260193.0,brown-peacock-sp100
42,0.0,[],No,Grade 9,0.0,[u'English Elementary'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,104.0,13.0,ee-unit2-english-elementary,1260002.0,black-apple-sp100
43,0.0,[],No,Grade 9,0.0,[u'English Elementary'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,104.0,13.0,ee-unit2-english-elementary,1260002.0,black-apple-sp100
48,0.0,[],No,Grade 8,0.0,[u'Basic Astronomy'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,45.0,7.0,ast-unit3-solar-system,1259953.0,blue-copper-sp100
49,0.0,[],No,Grade 8,0.0,[u'Basic Astronomy'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,45.0,7.0,ast-unit3-solar-system,1259953.0,blue-copper-sp100
50,15.0,[],Yes,,4.0,[u'Basic Astronomy'],33.33333333333333,57.14285714285714,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,45.0,7.0,ast-unit3-solar-system,1260189.0,brown-ostrich-sp100
51,15.0,[],Yes,,4.0,[u'Basic Astronomy'],33.33333333333333,57.14285714285714,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,45.0,7.0,ast-unit3-solar-system,1260189.0,brown-ostrich-sp100
52,15.0,[],Yes,Grade 8,4.0,[u'Basic Astronomy'],33.33333333333333,57.14285714285714,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,45.0,7.0,ast-unit3-solar-system,1260193.0,brown-peacock-sp100
53,15.0,[],Yes,Grade 8,4.0,[u'Basic Astronomy'],33.33333333333333,57.14285714285714,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,45.0,7.0,ast-unit3-solar-system,1260193.0,brown-peacock-sp100
56,0.0,[],No,Grade 8,0.0,[u'Understanding Motion'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,69.0,12.0,um-physics-motion,1259953.0,blue-copper-sp100
57,0.0,[],No,Grade 8,0.0,[u'Understanding Motion'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,69.0,12.0,um-physics-motion,1259953.0,blue-copper-sp100
58,0.0,[],No,Grade 9,0.0,[u'Understanding Motion'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,69.0,12.0,um-physics-motion,1260002.0,black-apple-sp100
59,0.0,[],No,Grade 9,0.0,[u'Understanding Motion'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,69.0,12.0,um-physics-motion,1260002.0,black-apple-sp100
60,2.0,[],No,,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,69.0,12.0,um-physics-motion,1260189.0,brown-ostrich-sp100
61,2.0,[],No,,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,69.0,12.0,um-physics-motion,1260189.0,brown-ostrich-sp100
62,2.0,[],No,Grade 8,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,69.0,12.0,um-physics-motion,1260193.0,brown-peacock-sp100
63,2.0,[],No,Grade 8,0.0,[u'Understanding Motion'],2.898550724637681,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:54:00,69.0,12.0,um-physics-motion,1260193.0,brown-peacock-sp100
68,4.0,[],No,Grade 8,0.0,[u'Pre-CLIx Survey'],20.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1259953.0,blue-copper-sp100
69,4.0,[],No,Grade 8,0.0,[u'Pre-CLIx Survey'],20.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1259953.0,blue-copper-sp100
70,2.0,[],No,Grade 9,0.0,[u'Pre-CLIx Survey'],10.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1260002.0,black-apple-sp100
71,2.0,[],No,Grade 9,0.0,[u'Pre-CLIx Survey'],10.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1260002.0,black-apple-sp100
72,6.0,[],Yes,,0.0,[u'Pre-CLIx Survey'],30.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1260076.0,blue-bat-sp100
73,6.0,[],Yes,,0.0,[u'Pre-CLIx Survey'],30.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1260076.0,blue-bat-sp100
74,1.0,[],No,Grade 8,0.0,[u'Pre-CLIx Survey'],5.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1260193.0,brown-peacock-sp100
75,1.0,[],No,Grade 8,0.0,[u'Pre-CLIx Survey'],5.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1260193.0,brown-peacock-sp100
76,6.0,[],Yes,,0.0,[u'Pre-CLIx Survey'],30.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1260941.0,yellow-bear-sp100
77,6.0,[],Yes,,0.0,[u'Pre-CLIx Survey'],30.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,20.0,1.0,pre-clix-survey,1260941.0,yellow-bear-sp100
84,2.0,[],No,Grade 8,0.0,[u'English Beginner'],2.9411764705882346,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1259953.0,blue-copper-sp100
85,2.0,[],No,Grade 8,0.0,[u'English Beginner'],2.9411764705882346,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1259953.0,blue-copper-sp100
86,10.0,[],No,,0.0,[u'English Beginner'],14.705882352941178,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1259993.0,yellow-copper-sp100
87,10.0,[],No,,0.0,[u'English Beginner'],14.705882352941178,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1259993.0,yellow-copper-sp100
88,2.0,[],No,Grade 9,0.0,[u'English Beginner'],2.9411764705882346,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1260002.0,black-apple-sp100
89,2.0,[],No,Grade 9,0.0,[u'English Beginner'],2.9411764705882346,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1260002.0,black-apple-sp100
90,2.0,[],Yes,,0.0,[u'English Beginner'],2.9411764705882346,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1260189.0,brown-ostrich-sp100
91,2.0,[],Yes,,0.0,[u'English Beginner'],2.9411764705882346,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1260189.0,brown-ostrich-sp100
92,2.0,[],Yes,Grade 8,0.0,[u'English Beginner'],2.9411764705882346,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1260193.0,brown-peacock-sp100
93,2.0,[],Yes,Grade 8,0.0,[u'English Beginner'],2.9411764705882346,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,68.0,12.0,eb-unit0-english-beginner,1260193.0,brown-peacock-sp100
96,0.0,[],No,Grade 8,0.0,[u'Basic Astronomy'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,15.0,5.0,ast-unit1-earth,1259953.0,blue-copper-sp100
97,0.0,[],No,Grade 8,0.0,[u'Basic Astronomy'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,15.0,5.0,ast-unit1-earth,1259953.0,blue-copper-sp100
98,6.0,[],Yes,,1.0,[u'Basic Astronomy'],40.0,20.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,15.0,5.0,ast-unit1-earth,1260189.0,brown-ostrich-sp100
99,6.0,[],Yes,,1.0,[u'Basic Astronomy'],40.0,20.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,15.0,5.0,ast-unit1-earth,1260189.0,brown-ostrich-sp100
100,6.0,[],Yes,Grade 8,1.0,[u'Basic Astronomy'],40.0,20.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,15.0,5.0,ast-unit1-earth,1260193.0,brown-peacock-sp100
101,6.0,[],Yes,Grade 8,1.0,[u'Basic Astronomy'],40.0,20.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,15.0,5.0,ast-unit1-earth,1260193.0,brown-peacock-sp100
112,8.0,[],Yes,,2.0,[u'Basic Astronomy'],57.14285714285714,50.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,14.0,4.0,ast-unit2-moon,1260189.0,brown-ostrich-sp100
113,8.0,[],Yes,,2.0,[u'Basic Astronomy'],57.14285714285714,50.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,14.0,4.0,ast-unit2-moon,1260189.0,brown-ostrich-sp100
114,8.0,[],Yes,Grade 8,2.0,[u'Basic Astronomy'],57.14285714285714,50.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,14.0,4.0,ast-unit2-moon,1260193.0,brown-peacock-sp100
115,8.0,[],Yes,Grade 8,2.0,[u'Basic Astronomy'],57.14285714285714,50.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,14.0,4.0,ast-unit2-moon,1260193.0,brown-peacock-sp100
122,0.0,[],No,Grade 8,0.0,[u'Linear Equations'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,7.0,1.0,le-unit1-making-solving-puzzles,1259953.0,blue-copper-sp100
123,0.0,[],No,Grade 8,0.0,[u'Linear Equations'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,7.0,1.0,le-unit1-making-solving-puzzles,1259953.0,blue-copper-sp100
124,0.0,[],No,Grade 9,0.0,[u'Linear Equations'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,7.0,1.0,le-unit1-making-solving-puzzles,1260002.0,black-apple-sp100
125,0.0,[],No,Grade 9,0.0,[u'Linear Equations'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:57:00,7.0,1.0,le-unit1-making-solving-puzzles,1260002.0,black-apple-sp100
128,1.0,[],No,Grade 8,0.0,[u'Post-CLIx Survey'],5.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:58:00,20.0,1.0,post-clix-survey,1259953.0,blue-copper-sp100
129,1.0,[],No,Grade 8,0.0,[u'Post-CLIx Survey'],5.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:58:00,20.0,1.0,post-clix-survey,1259953.0,blue-copper-sp100
130,1.0,[],No,Grade 9,0.0,[u'Post-CLIx Survey'],5.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:58:00,20.0,1.0,post-clix-survey,1260002.0,black-apple-sp100
131,1.0,[],No,Grade 9,0.0,[u'Post-CLIx Survey'],5.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:58:00,20.0,1.0,post-clix-survey,1260002.0,black-apple-sp100
134,0.0,[],No,Grade 8,0.0,[u'Geometric Reasoning Part I'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,14.0,4.0,gr1-unit1-concept-of-shape,1260193.0,brown-peacock-sp100
135,0.0,[],No,Grade 8,0.0,[u'Geometric Reasoning Part I'],0.0,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,14.0,4.0,gr1-unit1-concept-of-shape,1260193.0,brown-peacock-sp100
142,1.0,[],No,,0.0,[u'Geometric Reasoning Part I'],12.5,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,8.0,3.0,gr1-unit2-analysing-describing-shapes,1260189.0,brown-ostrich-sp100
143,1.0,[],No,,0.0,[u'Geometric Reasoning Part I'],12.5,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,8.0,3.0,gr1-unit2-analysing-describing-shapes,1260189.0,brown-ostrich-sp100
144,1.0,[],No,Grade 8,0.0,[u'Geometric Reasoning Part I'],12.5,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,8.0,3.0,gr1-unit2-analysing-describing-shapes,1260193.0,brown-peacock-sp100
145,1.0,[],No,Grade 8,0.0,[u'Geometric Reasoning Part I'],12.5,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,8.0,3.0,gr1-unit2-analysing-describing-shapes,1260193.0,brown-peacock-sp100
150,1.0,[],No,Grade 8,0.0,[u'Geometric Reasoning Part I'],2.3255813953488373,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,43.0,8.0,gr1-unit3-classifying-defining-shapes,1259953.0,blue-copper-sp100
151,1.0,[],No,Grade 8,0.0,[u'Geometric Reasoning Part I'],2.3255813953488373,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,43.0,8.0,gr1-unit3-classifying-defining-shapes,1259953.0,blue-copper-sp100
152,1.0,[],No,Grade 9,0.0,[u'Geometric Reasoning Part I'],2.3255813953488373,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,43.0,8.0,gr1-unit3-classifying-defining-shapes,1260002.0,black-apple-sp100
153,1.0,[],No,Grade 9,0.0,[u'Geometric Reasoning Part I'],2.3255813953488373,0.0,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:56:00,43.0,8.0,gr1-unit3-classifying-defining-shapes,1260002.0,black-apple-sp100
156,2.0,[],Yes,,1.0,[u'Atomic Structure'],4.081632653061225,11.111111111111109,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:58:00,49.0,9.0,atom-in-chemistry,1260076.0,blue-bat-sp100
157,2.0,[],Yes,,1.0,[u'Atomic Structure'],4.081632653061225,11.111111111111109,4141090.0,Zphs CHITYAL,tg190,tg,2018-07-17 19:58:00,49.0,9.0,atom-in-chemistry,1260076.0,blue-bat-sp100
164,1.0,[],Yes,,1.0,[u'Proportional Reasoning'],4.3478260869565215,16.666666666666664,4152015.0,Zphs Gannervaram,tg215,tg,2019-02-20 16:10:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065733.0,red-copper-tg215
165,1.0,[1065754],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065753.0,black-banana-tg215
166,1.0,[1065754],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065753.0,black-banana-tg215
167,1.0,[],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065754.0,black-bat-tg215
168,1.0,[],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065754.0,black-bat-tg215
169,1.0,[1065757],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065755.0,black-bear-tg215
170,1.0,[1065757],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065755.0,black-bear-tg215
171,1.0,[],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065757.0,black-bulbul-tg215
172,1.0,[],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065757.0,black-bulbul-tg215
173,1.0,[1065759],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065758.0,black-bull-tg215
174,1.0,[1065759],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065758.0,black-bull-tg215
175,1.0,[],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065759.0,black-butterfly-tg215
176,1.0,[],Yes,,0.0,[u'Proportional Reasoning'],4.3478260869565215,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:07:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065759.0,black-butterfly-tg215
177,2.0,[],Yes,,0.0,[u'Proportional Reasoning'],8.695652173913043,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2019-02-25 15:14:00,23.0,6.0,pr-unit1-additive-to-multiplicative-thinking,1065785.0,black-horse-tg215
182,1.0,[1065754],No,,0.0,[u'Linear Equations'],14.285714285714285,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 13:09:00,7.0,1.0,le-unit1-making-solving-puzzles,1065753.0,black-banana-tg215
183,1.0,[1065754],No,,0.0,[u'Linear Equations'],14.285714285714285,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 13:09:00,7.0,1.0,le-unit1-making-solving-puzzles,1065753.0,black-banana-tg215
184,3.0,[1065754],Yes,,0.0,[u'Linear Equations'],42.857142857142854,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:10:00,7.0,1.0,le-unit1-making-solving-puzzles,1065753.0,black-banana-tg215
185,3.0,[1065754],Yes,,0.0,[u'Linear Equations'],42.857142857142854,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:10:00,7.0,1.0,le-unit1-making-solving-puzzles,1065753.0,black-banana-tg215
186,1.0,[],No,,0.0,[u'Linear Equations'],14.285714285714285,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 13:09:00,7.0,1.0,le-unit1-making-solving-puzzles,1065754.0,black-bat-tg215
187,1.0,[],No,,0.0,[u'Linear Equations'],14.285714285714285,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 13:09:00,7.0,1.0,le-unit1-making-solving-puzzles,1065754.0,black-bat-tg215
188,3.0,[],Yes,,0.0,[u'Linear Equations'],42.857142857142854,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:10:00,7.0,1.0,le-unit1-making-solving-puzzles,1065754.0,black-bat-tg215
189,3.0,[],Yes,,0.0,[u'Linear Equations'],42.857142857142854,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:10:00,7.0,1.0,le-unit1-making-solving-puzzles,1065754.0,black-bat-tg215
190,2.0,[1065757],No,,0.0,[u'Linear Equations'],28.57142857142857,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 13:09:00,7.0,1.0,le-unit1-making-solving-puzzles,1065755.0,black-bear-tg215
191,2.0,[1065757],No,,0.0,[u'Linear Equations'],28.57142857142857,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 13:09:00,7.0,1.0,le-unit1-making-solving-puzzles,1065755.0,black-bear-tg215
192,3.0,[1065757],Yes,,0.0,[u'Linear Equations'],42.857142857142854,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:10:00,7.0,1.0,le-unit1-making-solving-puzzles,1065755.0,black-bear-tg215
193,3.0,[1065757],Yes,,0.0,[u'Linear Equations'],42.857142857142854,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 15:10:00,7.0,1.0,le-unit1-making-solving-puzzles,1065755.0,black-bear-tg215
194,2.0,[],No,,0.0,[u'Linear Equations'],28.57142857142857,0.0,4152015.0,Zphs Gannervaram,tg215,tg,2018-11-16 13:09:00,7.0,1.0,le-unit1-making-solving-puzzles,1065757.0,black-bulbul-tg215
