server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-cobra-ct24,550429,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-cobra-ct24,550429,,Yes,[],3,0,0.0,8,2,25.0,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-crab-ct24,550430,,Yes,"[550429, 550434]",3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-deer-ct24,550431,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-deer-ct24,550431,,Yes,[],3,0,0.0,8,2,25.0,2018-09-28 17:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-dog-ct24,550432,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-dragonfly-ct24,550434,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-dragon-ct24,550435,,Yes,"[550431, 550446]",3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-dragon-ct24,550435,,Yes,[],3,0,0.0,8,2,25.0,2018-09-28 17:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-duck-ct24,550436,,Yes,[],3,0,0.0,8,1,12.5,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-duck-ct24,550436,,Yes,[],3,0,0.0,8,2,25.0,2018-08-28 18:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-eagle-ct24,550437,,Yes,"[550438, 550440]",3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-eagle-ct24,550437,,Yes,"[550438, 550440]",3,0,0.0,8,2,25.0,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-elephant-ct24,550438,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-elephant-ct24,550438,,Yes,[],3,0,0.0,8,2,25.0,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-elephant-ct24,550438,,Yes,[],3,0,0.0,8,3,37.5,2018-08-24 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-flamingo-ct24,550439,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-fox-ct24,550440,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-fox-ct24,550440,,Yes,[],3,0,0.0,8,2,25.0,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-frog-ct24,550441,,Yes,[],3,0,0.0,8,1,12.5,2018-08-28 18:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-goat-ct24,550443,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-goat-ct24,550443,,Yes,[],3,0,0.0,8,2,25.0,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-gorilla-ct24,550444,,Yes,[550445],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-gorilla-ct24,550444,,Yes,[],3,0,0.0,8,2,25.0,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-grasshopper-ct24,550445,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-grasshopper-ct24,550445,,Yes,[],3,0,0.0,8,2,25.0,2018-08-24 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-hen-ct24,550446,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-hen-ct24,550446,,Yes,[],3,0,0.0,8,2,25.0,2018-09-28 17:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-hippo-ct24,550449,,Yes,[],3,0,0.0,8,1,12.5,2018-08-24 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-honeybee-ct24,550450,,Yes,"[550436, 550443, 550452]",3,0,0.0,8,1,12.5,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-honeybee-ct24,550450,,Yes,"[550436, 550443]",3,0,0.0,8,2,25.0,2018-08-28 18:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-kangaroo-ct24,550452,,Yes,"[550443, 550488]",3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-kangaroo-ct24,550452,,Yes,[],3,0,0.0,8,2,25.0,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-kiwi-ct24,550453,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-lion-ct24,550454,,Yes,[],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-llama-ct24,550455,,Yes,"[550429, 550444]",3,0,0.0,8,1,12.5,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-llama-ct24,550455,,Yes,"[550444, 550445]",3,0,0.0,8,2,25.0,2018-08-28 18:08:00,ct,1011024-ct24,3,1,7,9,20
