school_server_code,tool_name,created_at,user_id,domain,time_hh,time_mm,time_ss,date_created,time_spent
1011001-ct1,Food_sharing_tool,2018-07-17 22:24:45,0,m,22,24,45,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:21:19,0,m,22,21,19,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 14:43:42,0,m,14,43,42,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:11,0,m,22,25,11,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:11,0,m,22,25,11,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:21:39,0,m,22,21,39,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:18,0,m,22,25,18,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:35,0,m,22,25,35,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:36,0,m,22,25,36,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:37,0,m,22,25,37,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:49,0,m,22,25,49,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:52,0,m,22,25,52,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:55,0,m,22,25,55,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 16:47:54,0,m,16,47,54,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 14:45:03,0,m,14,45,03,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:50,0,m,22,25,50,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:22:56,0,m,22,22,56,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:23:04,0,m,22,23,04,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:23:15,0,m,22,23,15,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:24:16,0,m,22,24,16,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:27:53,0,m,22,27,53,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:24:23,0,m,22,24,23,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:24:35,0,m,22,24,35,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:24:55,0,m,22,24,55,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:03,0,m,22,25,03,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:25:10,0,m,22,25,10,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:28:53,0,m,22,28,53,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:29:14,0,m,22,29,14,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:29:56,0,m,22,29,56,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:29:58,0,m,22,29,58,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:29:59,0,m,22,29,59,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:04:16,0,m,23,04,16,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:04:17,0,m,23,04,17,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:04:27,0,m,23,04,27,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:05:45,0,m,23,05,45,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:06:57,0,m,23,06,57,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:29:21,0,m,15,29,21,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:11:49,0,m,23,11,49,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:34:06,0,m,17,34,06,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:32:08,0,m,15,32,08,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:10:20,0,m,23,10,20,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:10:47,0,m,23,10,47,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:11:02,0,m,23,11,02,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:14:51,0,m,23,14,51,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:14:55,0,m,23,14,55,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:34:10,0,m,15,34,10,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:34:20,0,m,15,34,20,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:34:23,0,m,15,34,23,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:37:34,0,m,17,37,34,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:12:54,0,m,23,12,54,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:16:17,0,m,23,16,17,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:16:28,0,m,23,16,28,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:13:39,0,m,23,13,39,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:13:50,0,m,23,13,50,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:16:53,0,m,23,16,53,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:14:31,0,m,23,14,31,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:17:56,0,m,23,17,56,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:18:03,0,m,23,18,03,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:18:07,0,m,23,18,07,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:18:13,0,m,23,18,13,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:15:17,0,m,23,15,17,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:18:16,0,m,23,18,16,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:18:20,0,m,23,18,20,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:15:33,0,m,23,15,33,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:18:31,0,m,23,18,31,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:16:06,0,m,23,16,06,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:16:13,0,m,23,16,13,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:38:32,0,m,15,38,32,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:16:43,0,m,23,16,43,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:21:08,0,m,23,21,08,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:21:32,0,m,23,21,32,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:21:57,0,m,23,21,57,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:22:11,0,m,23,22,11,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:22:54,0,m,23,22,54,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:19:57,0,m,23,19,57,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:45:54,0,m,17,45,54,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:24:09,0,m,23,24,09,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:43:30,0,m,15,43,30,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:43:31,0,m,15,43,31,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:24:25,0,m,23,24,25,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:47:46,0,m,17,47,46,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:22:49,0,m,23,22,49,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 23:22:57,0,m,23,22,57,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 15:45:21,0,m,15,45,21,20180715,286.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:48:21,0,m,17,48,21,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 17:48:38,0,m,17,48,38,20180717,560.0
